"codice";"descrizione";"prezzo";"punti"
"3114080400050";CHAM.BRUT LOUIS RODERER CL.75;62.90;3.1450000000000000
"3116430215284";BISC.COOKIES CIOCC.150g DELACR;2.49;0.12450000000000000000
"3116430216649";CONF.DELACRE CONSTELLAT.140g;3.99;0.19950000000000000000
"3119780239795";BIRRA HEINEKEN cl15x8OW5°  .;5.29;0.26450000000000000000
"3119780258529";BIRRA FISCHER cl65TRADITIO.6°;2.79;0.13950000000000000000
"3137610000766";STAMPO CROSTATA CM27VETRO;3.49;0.17450000000000000000
"3147690083207";ARMAGNAC CL.70ST.VIVANT;20.50;1.02500000000000000000
"3154142456205";RIGHELLO30cm UNBREAKABLE;1.00;0.05000000000000000000
"3159470001424";CEREALI A.BRAN Gr500KELLOGG'S;4.29;0.21450000000000000000
"3159470001516";CEREALI FROSTIES Gr375KELLOG.;3.79;0.18950000000000000000
"3161710001569";CAMOSCIO D'ORO GR.200;3.89;0.19450000000000000000
"3163937011000";RICARD RAMAZZOTTI cl.70.;12.69;0.63450000000000000000
"3174660115309";ZUCCHERO PACCO Kg1;1.59;0.07950000000000000000
"3175681015678";MINI GRISS.S/GLUTINE Gr150CE;3.99;0.19950000000000000000
"3175681015968";BISC.G.CIOCC.S/GLUTINE Gr150;3.99;0.19950000000000000000
"3175681075382";MADELEINE S/G.Gr200NUTRITI.;4.29;0.21450000000000000000
"3175681083059";PANE S/LIEV.AZZ.INT.g180CERE#;2.19;0.10950000000000000000
"3175681083462";PANE SEGALE S/LIEV.Gr500CEREA;2.99;0.14950000000000000000
"3175681099647";MADELEINE S/G.NOIR G200NUTRI;4.89;0.24450000000000000000
"3175681109803";PANE A FETTE GR.200CEREAL;2.89;0.14450000000000000000
"3175681111547";CRUSCA D'AVENA Gr400CEREAL  .;2.89;0.14450000000000000000
"3175681123311";TOFU BIO AL NATURALE Gr250CER;3.29;0.16450000000000000000
"3175681125278";BARRETTE CUORE COCC.Gr372PESO;9.99;0.49950000000000000000
"3175681126251";PANE RUSTICO SEMI GR.400CEREA;4.29;0.21450000000000000000
"3175681144965";SPAGHETTI KONJAC GR.265PESOFO;3.89;0.19450000000000000000
"3175681149441";AVENA DRINK BIO LT.1NUTRITION;2.49;0.12450000000000000000
"3175681196827";CROSTATINA BIO ALBIC. GR180CE;3.99;0.19950000000000000000
"3175681212923";BUONISENZA AL LIMONE GR160CER;3.69;0.18450000000000000000
"3175681213388";PESOFORMA NAT.SMOOTH.GR420NAT;9.99;0.49950000000000000000
"3175681219465";MINI CAKE S/Z CIOCC.Gr196CERE;3.99;0.19950000000000000000
"3175681219489";MINI CAKE S/Z LIMON.Gr196CERE;3.99;0.19950000000000000000
"3175681223585";BARR.GOLOSI CIOCC.Gr102CEREAL;3.09;0.15450000000000000000
"3175681239111";MADELEINE CIOCC Gr210S/L CER;4.29;0.21450000000000000000
"3175681240063";AVENA COCCO DRINK Lt1CEREAL;2.89;0.14450000000000000000
"3175681250659";ORZO BIMBO MAC.Gr500NUTRITION;1.89;0.09450000000000000000
"3175681250673";ORZO BIMBO SOLUB.Gr120NUTRIT.;2.09;0.10450000000000000000
"3175681251007";BARRETTE TRE CIOCC.Gr372PESOS;9.79;0.48950000000000000000
"3175681251014";PESOFORMA CHOCO SMOOTHIE GR436;9.99;0.49950000000000000000
"3175681253377";BISC.F.CACAO S/ZUC.gr185CEREA;3.79;0.18950000000000000000
"3175681261099";BARR.GOLOSO BIANCO GR120CEREA;2.99;0.14950000000000000000
"3175681263604";PANCAMPAGNOLO INT.GR.175CERE;1.99;0.09950000000000000000
"3175681264106";GALLET.CIOCC.BIAN/FRUT.B.G130;2.29;0.11450000000000000000
"3175681264113";GALLET.CIOCC.LATT/NOCC.G142PE;2.59;0.12950000000000000000
"3175681268401";PESOFORMA VAN.SMOOTH.436g;9.99;0.49950000000000000000
"3175681272804";BARR.NOCCIOLATO S/G90g CEREAL;2.99;0.14950000000000000000
"3175681272835";PANE INT.FIBRE/PROT.240g CERE;2.89;0.14450000000000000000
"3175681272842";BARR.PROTEIN TOFFE55g ISOSTAR;1.49;0.07450000000000000000
"3175681273801";FETTE PROTEICHE LEGUMI100g CE;1.95;0.09750000000000000000
"3175681274464";PESOFORMA CHOCO SHAKE Ml236;6.59;0.32950000000000000000
"3175681281684";BARR.PROTEIN PIST.28g BEACTIVE;1.39;0.06950000000000000000
"3175681282988";GALLET.CIOCC.FOND/ARAN.158g PE;2.59;0.12950000000000000000
"3175681284661";BISC.CUOR NOCC.S/Z gr190CEREA;3.89;0.19450000000000000000
"3179732348913";ACQUA FRIZZ.LT.1PERRIER PET;1.39;0.06950000000000000000
"3185370000335";CHAMPAGNE MOET cl.75.;42.39;2.1195000000000000
"3185370022931";GRAPPA MARC DE CHAMP.MOETcl75;27.69;1.3845000000000000
"3185370037768";CHAMPAGNE DOM PERIGNON CL.75.;259.90;12.9950000000000000
"3185370061503";CHAMPAGNE MOET ROSE' cl.75;56.50;2.8250000000000000
"3215666800063";SHAMP.ALBICOCCA BAMB.ML250U.D;2.89;0.14450000000000000000
"3219820000078";COGNAC cl.70MARTELL V.S.;26.59;1.3295000000000000
"3223920720125";COUS COUS PRECOTTO g500FERRER;2.19;0.10950000000000000000
"3227291010113";PATATE TONDE gr.500;2.39;0.11950000000000000000
"3227291050317";CAROTE TAGLIATE A ROND. GR.500;2.19;0.10950000000000000000
"3228020232028";BRIE PRESIDENT PUNTA GR.200;3.79;0.18950000000000000000
"3228020481808";PETIT CAMEMBERT GR.145PRESIDE;2.89;0.14450000000000000000
"3228021130125";FETTE ALLA MOZZ.S.LUCIA Gr200.;2.59;0.12950000000000000000
"3228021170107";EMMENTAL PRESIDENT Gr200;3.69;0.18450000000000000000
"3228021200040";BOCC.DI MOZZ.PAN.GR.150AMEMÌ;2.59;0.12950000000000000000
"3228023160052";TRONCHETTO CAPRA Gr200PRESIDE;3.99;0.19950000000000000000
"3228023160069";CAPRINI FRESCHI GR.100PRESIDE;2.49;0.12450000000000000000
"3228881020956";THE LIPTON VERDE x25Gr33;2.19;0.10950000000000000000
"3229820796406";BEV.RISO/MAN.BIO S/Z LT1BJORG;2.59;0.12950000000000000000
"3229820800431";BEVAN.COCCO BIO S/Z LT1BJORG;2.39;0.11950000000000000000
"3229820801834";BEV.RISO BIO S/Z LT1BJORG;1.99;0.09950000000000000000
"3255831010507";RAPE ROSSE PRECOTTE;1.39;0.06950000000000000000
"3256830006676";PATAT.FORNO CHIPS Gr600MC CA.;2.79;0.13950000000000000000
"3256830006829";PATAT.GOLDEN LONG Gr750MC CAI;2.69;0.13450000000000000000
"3261570000136";BIRRA DU DEMON CL.33;2.49;0.12450000000000000000
"3270241119817";ETICHETTA SCOLASTICHE9PZ81*3;1.00;0.05000000000000000000
